ROW_ID,CUSTOMER_ID,PRODUCT_ID,DATE_ID,PAYMENT_ID
11743,0,0,0,0
32648,1,1,1,1
17522,2,2,2,2
14721,3,3,3,3
29629,4,4,4,4
25868,5,5,5,5
33131,6,6,6,6
19559,7,7,7,7
32638,8,8,8,8
14070,9,9,9,9
21306,10,10,10,10
21668,11,11,11,11
39465,12,12,12,12
31650,13,13,13,13
24260,14,14,14,14
13646,15,15,15,15
23708,16,16,16,16
39466,17,17,17,17
33661,18,18,18,18
39467,19,19,19,19
1779,20,20,20,20
23880,21,21,21,21
27094,22,22,22,22
24424,23,23,23,23
22049,24,24,24,24
40796,25,25,25,25
23815,26,26,26,26
40098,27,27,27,27
26341,28,28,28,28
25330,29,29,29,29
13524,30,30,30,30
47221,31,31,31,31
22732,32,32,32,32
30570,33,33,33,33
31192,34,34,34,34
40099,35,35,35,35
36258,36,36,36,36
36259,37,37,37,37
28879,38,38,38,38
45794,39,39,39,39
4132,40,40,40,40
27704,41,41,41,41
13779,42,42,42,42
39519,43,43,43,43
12069,44,44,44,44
22096,45,45,45,45
49463,46,46,46,46
46630,47,47,47,47
36260,48,48,48,48
21586,49,49,49,49
13528,50,50,50,50
1570,51,51,51,51
3484,52,52,52,52
30191,53,53,53,53
11645,54,54,54,54
38460,55,55,55,55
22999,56,56,56,56
220,57,57,57,57
10648,58,58,58,58
40977,59,59,59,59
21286,60,60,60,60
40976,61,61,61,61
47905,62,62,62,62
36651,63,63,63,63
40100,64,64,64,64
15380,65,65,65,65
28046,66,66,66,66
21316,67,67,67,67
29272,68,68,68,68
25795,69,69,69,69
16681,70,70,70,70
15953,71,71,71,71
34608,72,72,72,72
13847,73,73,73,73
24341,74,74,74,74
28701,75,75,75,75
6550,76,76,76,76
37425,77,77,77,77
48360,78,78,78,78
40101,79,79,79,79
30190,80,80,80,80
42336,81,81,81,81
29047,82,82,82,82
38461,83,83,83,83
29601,84,84,84,84
23499,85,85,85,85
36652,86,86,86,86
26634,87,87,87,87
34496,88,88,88,88
10522,89,89,89,89
10549,90,90,90,90
25314,91,91,91,91
32637,92,92,92,92
16653,93,93,93,93
28932,94,94,94,94
8029,95,95,95,95
50411,96,96,96,96
21191,97,97,97,97
4960,98,98,98,98
49085,99,99,99,99
21209,100,100,100,100
12161,101,101,101,101
25438,102,102,102,102
33130,103,103,103,103
16988,104,104,104,104
24443,105,105,105,105
30199,106,106,106,106
13879,107,107,107,107
50788,108,108,108,108
40834,109,109,109,109
40425,110,110,110,110
18241,111,111,111,111
23013,112,112,112,112
45616,113,113,113,113
25026,114,114,114,114
27962,115,115,115,115
